Título;Link fixo;Data de publicação;Instituições;Fonte;Data de acesso à fonte;Suporte;Duração/Tamanho;Local de Publicação;Idiomas;Resumo;Itens relacionados;Temas;Dimensões;Palavras-chave - Termos do vocabulário controlado;Direitos autorais - Tipo;Temas e termos do vocabulário controlado;Localizações;Datas;Seção do Observatório;Detalhes da Catalogação;id
A qualidade da educação no horizonte da proteção integral infanto-adolescente;a-qualidade-da-educacao-no-horizonte-da-protecao-integral-infanto-adolescente;01/01/2020 00:00;;https://www.scielo.br/j/cp/a/3gRPNHGZhvgfYGkYfGbvBkj/?lang=pt#;;9293d806-8419-4127-b442-6437549105e5;19 páginas;;d86ea641-fa95-4d83-be26-ce1b70bcf476;<p>O artigo pretende problematizar o conceito de qualidade da educa&ccedil.&atilde.o vislumbrado no Estatuto da Crian&ccedil.a e do Adolescente (ECA), constru&iacute.do a partir das lutas por direitos humanos infanto-adolescentes. O conceito se imp&otilde.e como uma amplia&ccedil.&atilde.o do espectro dos direitos da cidadania e dos direitos sociais dos educandos, de modo que o conte&uacute.do do direito &agrave. educa&ccedil.&atilde.o n&atilde.o pode ser considerado ideologicamente neutro. O estudo qualitativo de tipo bibliogr&aacute.fico examina no acervo os fundamentos da qualidade educacional como direito humano, tendo-a como horizonte de prote&ccedil.&atilde.o integral das inf&acirc.ncias. Nota que a qualidade preconizada como prote&ccedil.&atilde.o integral n&atilde.o &eacute. um fato, nem um ato que depende com exclusividade do texto positivado. Ela depende, al&eacute.m dos fatores econ&ocirc.micos, de condi&ccedil.&otilde.es pol&iacute.ticas, engajamento da fam&iacute.lia e da sociedade, n&iacute.vel de democracia e estruturas de Estado para assegurar sua efetividade.</p>;;c6424ec9-408e-46fa-8c6e-2b215bcd0d42|068f159c-3265-4192-b288-bcdbfcdce78d;faf99f35-3654-4278-8f62-773faea7f61a;f47109d2-4463-4d37-a00e-e14208a6e499|4a108e05-b191-401e-8664-edcf23af27fb|9257c6bc-ab1d-4442-a510-5b5164e783ba;a9d98290-8c70-4978-b9ba-f1f46f688ea1;c6424ec9-408e-46fa-8c6e-2b215bcd0d42|068f159c-3265-4192-b288-bcdbfcdce78d|f47109d2-4463-4d37-a00e-e14208a6e499|4a108e05-b191-401e-8664-edcf23af27fb|9257c6bc-ab1d-4442-a510-5b5164e783ba;;;cedoc; ;fc7ad301-e959-4f89-a94a-6e66beaf2a88
Relatório de pesquisa – Papel da Supervisora Escolar no Programa Jovem de Futuro – Uma análise comparativa entre os estados de Espírito Santo e Rio Grande do Norte;relatorio-de-pesquisa-papel-da-supervisora-escolar-no-programa-jovem-de-futuro-uma-analise-comparativa-entre-os-estados-de-espirito-santo-e-rio-grande-do-norte;01/01/2020 00:00;Relação:Editora,Instituição:#067b3557-7a4f-4dc9-88a4-b81484d7d184; ;;9293d806-8419-4127-b442-6437549105e5;48 páginas;84bad139-d7a7-40ba-9cc8-561764d7f12e;d86ea641-fa95-4d83-be26-ce1b70bcf476;Esta pesquisa, tem como finalidade investigar e avaliar o efeito da atuação das supervisoras escolares na implementação do Circuito de Gestão nas escolas que participam do Programa Jovem de Futuro no Espírito Santo e no Rio Grande do Norte.;;068f159c-3265-4192-b288-bcdbfcdce78d|5f582d23-7153-4faf-a199-9a0c30bde618|3a57dcae-e1e4-4fe3-a3d0-d93fa9439ba3;2d33481d-710a-449e-8a73-aa0e2b9efbac|faf99f35-3654-4278-8f62-773faea7f61a;4bf88502-b339-4eb1-94ad-dfcfb856f1a0|a74cdf68-d870-4cf7-9470-cfab6d651812;0c266d06-2126-43e9-aadc-2113eb66a297;068f159c-3265-4192-b288-bcdbfcdce78d|5f582d23-7153-4faf-a199-9a0c30bde618|3a57dcae-e1e4-4fe3-a3d0-d93fa9439ba3|4bf88502-b339-4eb1-94ad-dfcfb856f1a0|a74cdf68-d870-4cf7-9470-cfab6d651812;;;cedoc; ;3b29481f-b55a-499e-8f7d-8182c020b26a
Relatório de pesquisa – Avaliação responsiva em transformações profundas: o caso do programa Jovem de Futuro;relatorio-de-pesquisa-avaliacao-responsiva-em-transformacoes-profundas-o-caso-do-programa-jovem-de-futuro;01/01/2020 00:00;; ;;9293d806-8419-4127-b442-6437549105e5;54 páginas;84bad139-d7a7-40ba-9cc8-561764d7f12e;d86ea641-fa95-4d83-be26-ce1b70bcf476;O presente estudo de avaliação responsiva pretendeu identificar mudanças, avanços e dificuldades decorrentes da implantação do programa Jovem de Futuro (JF) nas escolas, considerando para isso a perspectiva dos gestores, suas percepções sobre as ações desenvolvidas, assim como suas contribuições para o aperfeiçoamento do programa.;;964e45f7-2ab1-40d5-ae37-0f3b772841ba|17a7a4b9-a285-4199-b013-5518fbdd6d3a|068f159c-3265-4192-b288-bcdbfcdce78d;325127b6-0cb8-42f4-830a-3f233aa5c897|faf99f35-3654-4278-8f62-773faea7f61a;601d4133-e752-4d41-95cf-7d37c5c39d41|4bf88502-b339-4eb1-94ad-dfcfb856f1a0|cd7dd90d-2f03-4684-9977-c39995672064|9240d36a-5cd2-420d-bfca-485cf3164615;0c266d06-2126-43e9-aadc-2113eb66a297;964e45f7-2ab1-40d5-ae37-0f3b772841ba|17a7a4b9-a285-4199-b013-5518fbdd6d3a|068f159c-3265-4192-b288-bcdbfcdce78d|601d4133-e752-4d41-95cf-7d37c5c39d41|4bf88502-b339-4eb1-94ad-dfcfb856f1a0|cd7dd90d-2f03-4684-9977-c39995672064|9240d36a-5cd2-420d-bfca-485cf3164615;;;cedoc; ;fdf53695-4aa8-4071-9223-0c39a38a03b3
COVID-19 - Impacto Fiscal na Educação Básica: O cenário de receitas e despesas nas redes de educação em 2020 - terceiro relatório;covid-19-impacto-fiscal-na-educacao-basica-o-cenario-de-receitas-e-despesas-nas-redes-de-educacao-em-2020-terceiro-relatorio;01/01/2020 00:00;Relação:Autora,Instituição:#b9df277d-f409-4c45-b030-df09c09f6e38|Relação:Autora,Instituição:#067b3557-7a4f-4dc9-88a4-b81484d7d184; ;;9293d806-8419-4127-b442-6437549105e5;18 páginas;84bad139-d7a7-40ba-9cc8-561764d7f12e;d86ea641-fa95-4d83-be26-ce1b70bcf476;<p>Elaborado pelo Instituto Unibanco e pelo movimento Todos pela Educa&ccedil.&atilde.o, o terceiro relat&oacute.rio do estudo Covid-19 - Impacto Fiscal na Educa&ccedil.&atilde.o B&aacute.sica tem o objetivo de lan&ccedil.ar luz &agrave.s dificuldades financeiras que as redes de educa&ccedil.&atilde.o enfrentar&atilde.o em 2020 para a manuten&ccedil.&atilde.o dos processos de ensino-aprendizagem. A pandemia do novo coronav&iacute.rus levou todas as escolas a paralisar suas aulas presenciais, o que exigiu novos gastos com a reorganiza&ccedil.&atilde.o das a&ccedil.&otilde.es pedag&oacute.gicas e de cuidado com as crian&ccedil.as e jovens, ao mesmo tempo que o cen&aacute.rio econ&ocirc.mico alterou as condi&ccedil.&otilde.es de vida das fam&iacute.lias e as possibilidades de financiamento dos governos.&nbsp.</p>;;6c633342-21e7-4783-b253-1ad0142366ad|068f159c-3265-4192-b288-bcdbfcdce78d|964e45f7-2ab1-40d5-ae37-0f3b772841ba;faf99f35-3654-4278-8f62-773faea7f61a;3b4ca857-b1af-466e-8d0e-4af9d776fd39|4a7e9cac-a0bf-4966-b12f-74947e48c104|8f439b0e-e4b4-4845-99c5-faa7d6cc21e6|24332d5e-c12a-47be-81a8-3c84a51d3c27;a9d98290-8c70-4978-b9ba-f1f46f688ea1;6c633342-21e7-4783-b253-1ad0142366ad|068f159c-3265-4192-b288-bcdbfcdce78d|964e45f7-2ab1-40d5-ae37-0f3b772841ba|3b4ca857-b1af-466e-8d0e-4af9d776fd39|4a7e9cac-a0bf-4966-b12f-74947e48c104|8f439b0e-e4b4-4845-99c5-faa7d6cc21e6|24332d5e-c12a-47be-81a8-3c84a51d3c27;;;cedoc; ;6e9abf49-4209-443d-b113-e98a575e77ae
Ensinando pensamento crítico: sabedoria prática;tfr-ensinando-pensamento-critico-sabedoria-pratica;01/01/2020 00:00;Relação:Editora,Instituição:#4051cc9f-fe4a-461c-b2a6-4f9bb400c454; ;;9293d806-8419-4127-b442-6437549105e5;294 páginas;97f35add-f213-497c-8419-077d1f5e06cd;d86ea641-fa95-4d83-be26-ce1b70bcf476;<p><span data-sheets-value={&quot.1&quot.:2,&quot.2&quot.:&quot.Ensinando pensamento cr&iacute.tico chega ao Brasil em uma parceria da Elefante com a ONG A&ccedil.&atilde.o Educativa, em uma &eacute.poca de retrocessos em todas as &aacute.reas, e n&atilde.o apenas no pa&iacute.s. mas tamb&eacute.m em um momento em que setores da sociedade &mdash. notadamente, o movimento negro &mdash. reagem com for&ccedil.a ao absurdo da viol&ecirc.ncia cotidiana em todos os n&iacute.veis de exist&ecirc.ncia que, apesar dos discursos sobre igualdade, n&atilde.o deixa as pessoas negras respirarem. O livro trata de in&uacute.meros temas, como descoloniza&ccedil.&atilde.o, engajamento, integridade, colabora&ccedil.&atilde.o, transmiss&atilde.o oral de conhecimento, imagina&ccedil.&atilde.o, humor, conflito, espiritualidade, sexo e, &eacute. claro, ra&ccedil.a, g&ecirc.nero e classe &mdash. temas que marcam a obra de bell hooks de maneira transversal.&quot.} data-sheets-userformat={&quot.2&quot.:14783,&quot.3&quot.:{&quot.1&quot.:0,&quot.3&quot.:1},&quot.4&quot.:{&quot.1&quot.:2,&quot.2&quot.:9621584},&quot.5&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.6&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.7&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.8&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.10&quot.:1,&quot.11&quot.:4,&quot.14&quot.:{&quot.1&quot.:3,&quot.3&quot.:1},&quot.15&quot.:&quot.Arial&quot.,&quot.16&quot.:11}>O livro trata das rea&ccedil.&otilde.es de resist&ecirc.ncia frente aos retrocessos pol&iacute.ticos, especialmente do movimento negro. S&atilde.o abordados in&uacute.meros temas, como descoloniza&ccedil.&atilde.o, engajamento, integridade, colabora&ccedil.&atilde.o, transmiss&atilde.o oral de conhecimento, imagina&ccedil.&atilde.o, conflito, espiritualidade, sexo, e ra&ccedil.a, g&ecirc.nero e classe &mdash. temas que marcam a obra de Bell Hooks de maneira transversal. </span><span data-sheets-value={&quot.1&quot.:2,&quot.2&quot.:&quot.Ensinando pensamento cr&iacute.tico chega ao Brasil em uma parceria da Elefante com a ONG A&ccedil.&atilde.o Educativa, em uma &eacute.poca de retrocessos em todas as &aacute.reas, e n&atilde.o apenas no pa&iacute.s. mas tamb&eacute.m em um momento em que setores da sociedade &mdash. notadamente, o movimento negro &mdash. reagem com for&ccedil.a ao absurdo da viol&ecirc.ncia cotidiana em todos os n&iacute.veis de exist&ecirc.ncia que, apesar dos discursos sobre igualdade, n&atilde.o deixa as pessoas negras respirarem. O livro trata de in&uacute.meros temas, como descoloniza&ccedil.&atilde.o, engajamento, integridade, colabora&ccedil.&atilde.o, transmiss&atilde.o oral de conhecimento, imagina&ccedil.&atilde.o, humor, conflito, espiritualidade, sexo e, &eacute. claro, ra&ccedil.a, g&ecirc.nero e classe &mdash. temas que marcam a obra de bell hooks de maneira transversal.&quot.} data-sheets-userformat={&quot.2&quot.:14783,&quot.3&quot.:{&quot.1&quot.:0,&quot.3&quot.:1},&quot.4&quot.:{&quot.1&quot.:2,&quot.2&quot.:9621584},&quot.5&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.6&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.7&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.8&quot.:{&quot.1&quot.:[{&quot.1&quot.:2,&quot.2&quot.:0,&quot.5&quot.:{&quot.1&quot.:2,&quot.2&quot.:0}},{&quot.1&quot.:0,&quot.2&quot.:0,&quot.3&quot.:3},{&quot.1&quot.:1,&quot.2&quot.:0,&quot.4&quot.:1}]},&quot.10&quot.:1,&quot.11&quot.:4,&quot.14&quot.:{&quot.1&quot.:3,&quot.3&quot.:1},&quot.15&quot.:&quot.Arial&quot.,&quot.16&quot.:11}>O livro faz parte da Trilogia do Ensino escrita por Bell Hooks entre os anos anos 1990 e 2000.<br /></span></p>;;17a7a4b9-a285-4199-b013-5518fbdd6d3a|b4da8735-6fca-462d-a47e-af9efb3967ef;faf99f35-3654-4278-8f62-773faea7f61a;7f73b330-81f3-4d2a-90e5-4ace2e079512|6c93daa5-233f-429c-a019-ec48dbfe20ce|cd7c5467-cc3d-4b59-905a-fdc6435a55fb|691b7dd9-27dc-499d-96ac-42c9a5225ea1|6bae6ca1-e70f-4d04-a382-d364ed0b1142|1cc49f2b-5122-407b-a4b2-8773655f871d|7515c028-2a4b-4c7a-aadf-264a992cd866|ea8dddc1-e63e-4e99-8a54-4f914674bf9d;8abcc139-f6b8-42ca-b94a-d78df9ffdbd1;17a7a4b9-a285-4199-b013-5518fbdd6d3a|b4da8735-6fca-462d-a47e-af9efb3967ef|7f73b330-81f3-4d2a-90e5-4ace2e079512|6c93daa5-233f-429c-a019-ec48dbfe20ce|cd7c5467-cc3d-4b59-905a-fdc6435a55fb|691b7dd9-27dc-499d-96ac-42c9a5225ea1|6bae6ca1-e70f-4d04-a382-d364ed0b1142|1cc49f2b-5122-407b-a4b2-8773655f871d|7515c028-2a4b-4c7a-aadf-264a992cd866|ea8dddc1-e63e-4e99-8a54-4f914674bf9d;;;cedoc; ;bdaef6c0-c71a-48f5-9d7f-1abc8e40222a
Crítica à contrarreforma do ensino médio (Lei 13.415/17);critica-a-contrarreforma-do-ensino-medio-lei-13-415-17;01/01/2020 00:00;Relação:Editora,Instituição:#e78dabab-39db-49dd-b683-53e46f07bfad;https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7627876;30/03/2020 21:42;9293d806-8419-4127-b442-6437549105e5;135 páginas;2fc04e77-a086-425b-a6b6-8dc81be69ee7;d86ea641-fa95-4d83-be26-ce1b70bcf476;A presente pesquisa investiga a ―reforma do ensino médio sancionada pelo governo de Michel Temer em fevereiro de 2017. A Lei 13.415 foi posta em prática no mandato presidencial de Jair Bolsonaro. Essa condição exige da análise um acompanhamento em perspectiva, buscando identificar a direção para onde apontam as novas determinações ideológicas e econômicas de alteração do projeto original, inclusive as tendências à elitização e à militarização do ensino. O objetivo geral pretende analisar a contrarreforma do ensino médio nos marcos da expansão do empresariamento da educação e da ofensiva do capital. ;;8e894741-5b5f-4422-ba5c-05998d4f0ade|068f159c-3265-4192-b288-bcdbfcdce78d;325127b6-0cb8-42f4-830a-3f233aa5c897;4bf88502-b339-4eb1-94ad-dfcfb856f1a0|7d5cecc1-ca9f-4e6c-9675-8142ba6e00a5|59745980-bf5d-4af1-bc49-92cbdcf4f268|e40bf5dc-bb1a-42e0-b71c-30ff0801ede3;bc01074c-73a8-4ce6-a828-625412387aac;8e894741-5b5f-4422-ba5c-05998d4f0ade|068f159c-3265-4192-b288-bcdbfcdce78d|4bf88502-b339-4eb1-94ad-dfcfb856f1a0|7d5cecc1-ca9f-4e6c-9675-8142ba6e00a5|59745980-bf5d-4af1-bc49-92cbdcf4f268|e40bf5dc-bb1a-42e0-b71c-30ff0801ede3;;;cedoc; ;45c1cad5-923d-4044-86ba-713a68a43e88
Comprender la educación inclusiva chilena: panorama de políticas e investigación educativa;para-compreender-a-educacao-inclusiva-chilena-panorama-de-politicas-e-pesquisa-educativa;01/01/2020 00:00;Relação:Editora,Instituição:#ffa853eb-0942-4e64-823e-eee7aa90c32f;http://publicacoes.fcc.org.br/ojs/index.php/cp/article/view/6605/pdf;31/03/2020 12:06;9293d806-8419-4127-b442-6437549105e5;22 páginas;84bad139-d7a7-40ba-9cc8-561764d7f12e;18395357-1ad2-4469-81ab-08c41608aa7b;O conceito de educação inclusiva foi construído a partir de diversas fontes, cercado de outras noções como fracasso, qualidade e eficácia, que influem em sua interpretação e implementação. Este artigo de discussão teórica tenta compreender a partir de uma perspectiva educativa como foi construída essa confluência de ideias. Para tanto realiza-se uma cronologia de antecedentes de políticas internacionais e nacionais chilenas, bem como de tendências em pesquisas, entendendo-as como preocupações universais, hipóteses de trabalho e objetos de estudo, respectivamente. A discussão nos revela a complexidade do conceito ao observá-lo de maneira contextualizada e torna transparentes as lógicas psicopedagógicas, de eficácia dos recursos e de qualidade e inclusão nas quais se baseia;;0ce5f91e-d6c7-4ed8-8a30-ce76aa7b35d9|17a7a4b9-a285-4199-b013-5518fbdd6d3a|0c1151a3-124a-44fa-9c01-07081fc259db;2d33481d-710a-449e-8a73-aa0e2b9efbac|faf99f35-3654-4278-8f62-773faea7f61a;104e282c-ca97-4b5d-955c-c349c019c66b|601d4133-e752-4d41-95cf-7d37c5c39d41|4a7e9cac-a0bf-4966-b12f-74947e48c104|38a8d017-0f7e-4e07-ab60-9deec91421e7|f616d86c-e4f4-4fc4-bc20-71961e305366;9e8024ed-dc95-4924-9076-e7f75588b12e;0ce5f91e-d6c7-4ed8-8a30-ce76aa7b35d9|17a7a4b9-a285-4199-b013-5518fbdd6d3a|0c1151a3-124a-44fa-9c01-07081fc259db|104e282c-ca97-4b5d-955c-c349c019c66b|601d4133-e752-4d41-95cf-7d37c5c39d41|4a7e9cac-a0bf-4966-b12f-74947e48c104|38a8d017-0f7e-4e07-ab60-9deec91421e7|f616d86c-e4f4-4fc4-bc20-71961e305366;;;cedoc; ;4b76d466-4c29-4747-ae1f-dc55a66d521d
Entre a legitimação e a crítica: as disputas acerca da Base Nacional Comum Curricular;entre-a-legitimacao-e-a-critica-as-disputas-acerca-da-base-nacional-comum-curricular;01/01/2020 00:00;Relação:Editora,Instituição:#9ef1cae7-af16-4549-a85a-3d44cdbd524d|e4ca885a-18a6-4b78-84ff-2f2da7f583cf;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092020000100507&lang=pt;31/03/2020 17:32;9293d806-8419-4127-b442-6437549105e5;19 páginas;84bad139-d7a7-40ba-9cc8-561764d7f12e;d86ea641-fa95-4d83-be26-ce1b70bcf476;O artigo analisa as recentes disputas sobre a criação da chamada Base Nacional Comum Curricular (BNCC). Diferentemente de outras abordagens sobre o objeto, o texto busca integrar as dimensões relacional e discursiva para analisá-lo, valendo-se de uma apropriação particular das contribuições de Pierre Bourdieu e da Sociologia da Crítica. ;;068f159c-3265-4192-b288-bcdbfcdce78d|8e894741-5b5f-4422-ba5c-05998d4f0ade;faf99f35-3654-4278-8f62-773faea7f61a;a84020ea-56d1-4b39-b94e-4b99bf03a935|99729635-3a88-473e-903b-4467bffba746;1bd11ff0-e423-411b-89c6-6fc188e8139b;068f159c-3265-4192-b288-bcdbfcdce78d|8e894741-5b5f-4422-ba5c-05998d4f0ade|a84020ea-56d1-4b39-b94e-4b99bf03a935|99729635-3a88-473e-903b-4467bffba746;;;cedoc; ;09c9fca7-3251-4414-a83e-64e613bf23ac
Palavra aberta - BNCC e a alfabetização em duas versões: concepções e desafios;palavra-aberta-bncc-e-a-alfabetizacao-em-duas-versoes-concepcoes-e-desafios;01/01/2020 00:00;Relação:Editora,Instituição:#f8e4abd1-5824-47ae-82e7-72796439cfba|bf36bea3-3258-44b4-9331-d976b5fc8ddf;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982020000100709&lang=pt;31/03/2020 17:54;9293d806-8419-4127-b442-6437549105e5;15 páginas;f00e4e29-9fc2-44cb-889f-9d4921bfd49e;d86ea641-fa95-4d83-be26-ce1b70bcf476;No artigo a autora busca problematizar as questões envolvidas na formulação de uma proposta de alfabetização para a BNCC, fazendo uma recuperação das interpretações, concepções, problemas e algumas soluções em jogo na formulação da segunda versão da BNCC e um contraste com a sua versão homologada. Problematiza a especificidade da alfabetização e o seu diálogo com outras perspectivas postas para o ensino de Língua Portuguesa nos anos iniciais do ensino fundamental. ;;068f159c-3265-4192-b288-bcdbfcdce78d|8e894741-5b5f-4422-ba5c-05998d4f0ade;2d33481d-710a-449e-8a73-aa0e2b9efbac|faf99f35-3654-4278-8f62-773faea7f61a;c7e07c87-e281-4349-a7cc-c6837b2300a4|99729635-3a88-473e-903b-4467bffba746|a645fa9d-213c-46e9-b9aa-d09a1b9a3a17|7eeeab0a-da33-4618-a5de-cc238f38ae9e|0f046827-11e2-498f-b7d1-6d683c38c0d8;1bd11ff0-e423-411b-89c6-6fc188e8139b;068f159c-3265-4192-b288-bcdbfcdce78d|8e894741-5b5f-4422-ba5c-05998d4f0ade|c7e07c87-e281-4349-a7cc-c6837b2300a4|99729635-3a88-473e-903b-4467bffba746|a645fa9d-213c-46e9-b9aa-d09a1b9a3a17|7eeeab0a-da33-4618-a5de-cc238f38ae9e|0f046827-11e2-498f-b7d1-6d683c38c0d8;;;cedoc; ;8bb756d1-2513-4e6f-95fc-cf579a1db64a
Um roteiro para guiar a resposta educacional à Pandemia da COVID-19 de 2020 ;um-roteiro-para-guiar-a-resposta-educacional-a-pandemia-da-covid-19-de-2020;01/01/2020 00:00;Relação:Editora,Instituição:#53206cb7-ed1a-4986-9ea6-19550cc1a137|0dd03f29-c3c6-4309-b9f8-605819c2b6f7;https://globaled.gse.harvard.edu/files/geii/files/um_roteiro_para_guiar_a_resposta_educacional_a_pandemia_da_covid-19_reimersschleicher_ceipe_30032020_1.pdf;13/04/2020 21:00;9293d806-8419-4127-b442-6437549105e5;48 páginas;5abc9332-7fb8-4a34-8537-3e633bf2d78a;d86ea641-fa95-4d83-be26-ce1b70bcf476;Este relatório tem por objetivo apoiar a tomada de decisões educacionais para desenvolver e implementar respostas efetivas de educação para a Pandemia da COVID-19. O relatório explica por que as necessárias medidas de isolamento social causarão uma disrupção na educação escolar por vários meses, na maioria dos países do mundo. Na ausência de uma estratégia intencional e eficaz para proteger as oportunidades para aprender durante este período, esta interrupção causará graves perdas de aprendizado para os alunos.;;e8f735f5-1574-4ee8-aec1-56b59ff035cd|068f159c-3265-4192-b288-bcdbfcdce78d|b4da8735-6fca-462d-a47e-af9efb3967ef;325127b6-0cb8-42f4-830a-3f233aa5c897|2d33481d-710a-449e-8a73-aa0e2b9efbac|faf99f35-3654-4278-8f62-773faea7f61a;1b13b310-a7cb-4b9a-b052-b25bf0b3d0ce|75f5a4f2-5a35-4b3c-ad64-866bb8e12544|4a108e05-b191-401e-8664-edcf23af27fb|02a7196a-a171-4829-9f2f-59bbefe01e26;cf03948d-64c7-4545-927e-5b903a148f71;e8f735f5-1574-4ee8-aec1-56b59ff035cd|068f159c-3265-4192-b288-bcdbfcdce78d|b4da8735-6fca-462d-a47e-af9efb3967ef|1b13b310-a7cb-4b9a-b052-b25bf0b3d0ce|75f5a4f2-5a35-4b3c-ad64-866bb8e12544|4a108e05-b191-401e-8664-edcf23af27fb|02a7196a-a171-4829-9f2f-59bbefe01e26;;;cedoc; ;7315abaf-eb05-4503-aa8d-ed59fc0bda87
Implicações dos repasses constitucionais na qualidade da educação municipal das regiões Norte e Nordeste do Brasil;ta-implicacoes-dos-repasses-constitucionais-na-qualidade-da-educacao-municipal-das-regioes-norte-e-nordeste-do-brasil;01/01/2020 00:00;Relação:Editora,Instituição:#7db38b0f-0b05-4e6f-98cd-845b7cbf0961;https://www.scielo.br/pdf/ep/v46/1517-9702-ep-46-e218302.pdf;18/04/2020 21:00;9293d806-8419-4127-b442-6437549105e5;19 páginas;84bad139-d7a7-40ba-9cc8-561764d7f12e;d86ea641-fa95-4d83-be26-ce1b70bcf476;<p>O artigo aborda a influ&ecirc.ncia de transfer&ecirc.ncias intergovernamentais, enquanto caracter&iacute.stica financeira dos munic&iacute.pios, e dos valores repassados ao Fundeb, na qualidade da educa&ccedil.&atilde.o dos munic&iacute.pios das regi&otilde.es brasileiras Norte e Nordeste. Observou-se a contribui&ccedil.&atilde.o expressiva do fato de o munic&iacute.pio receber a complementa&ccedil.&atilde.o financeira da Uni&atilde.o no Fundo, indicando que a premissa de minimizar as desigualdades regionais por meio deste recurso tem sido efetiva.</p><p>&nbsp.</p>;Tipo de relacionamento:Composiçao(in),Item do acervo:#0a6b86e3-1f70-45b7-ab4b-c33e7cb85bab;6c633342-21e7-4783-b253-1ad0142366ad|068f159c-3265-4192-b288-bcdbfcdce78d;faf99f35-3654-4278-8f62-773faea7f61a;4c67e10d-25f5-4762-b2fc-dd11bac812a7|0f7818e6-7ffb-4984-8c9d-159c89bc86e3|1b39bac2-739d-46bd-87fe-a10586f7ec7f|d38fe1b0-72ce-4815-9c78-4a11085ebb46|9bf403d5-f0af-487c-80dd-d204ca61b9cb|2093eae8-4fae-4b12-91f4-275477c51aaf;9e8024ed-dc95-4924-9076-e7f75588b12e;6c633342-21e7-4783-b253-1ad0142366ad|068f159c-3265-4192-b288-bcdbfcdce78d|4c67e10d-25f5-4762-b2fc-dd11bac812a7|0f7818e6-7ffb-4984-8c9d-159c89bc86e3|1b39bac2-739d-46bd-87fe-a10586f7ec7f|d38fe1b0-72ce-4815-9c78-4a11085ebb46|9bf403d5-f0af-487c-80dd-d204ca61b9cb|2093eae8-4fae-4b12-91f4-275477c51aaf;a4b124d8-d2dc-4044-a742-9e9838fc17fc|960d33d7-d73c-427e-b292-fae0020c6f99;;cedoc; ;326face2-6aa4-4910-b255-00309e4937e4
